Group,Config area,Parameter(s),Current value,Status,Source support,Notes
Scenario settings,`config/scenarios.yaml`,`BASELINE.arrivals.onboarding_requests_per_day / redemption_requests_per_day`,`50 / 30`,`Scenario assumption`,None for exact counts,Chosen to create a stable low-congestion benchmark; aligned with queue defaults.
Scenario settings,`config/scenarios.yaml`,`STRESS.arrivals.onboarding_requests_per_day / redemption_requests_per_day`,`200 / 180`,`Scenario assumption`,None for exact counts,Chosen to create visible backlog conditions without overwhelming the simulation.
Scenario settings,`config/scenarios.yaml`,`STRESS.time_multipliers.default / TRADFI / TOKENIZED`,`1.3 / 1.4 / 1.2`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Agur et al. (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Literature supports greater stress sensitivity for legacy/manual infrastructure than programmable settlement.
Scenario settings,`config/scenarios.yaml`,`STRESS.cost_multipliers.default`,`1.05`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Small uplift kept to preserve current cost ranking without overstating crisis cost inflation.
Scenario settings,`config/scenarios.yaml`,`STRESS.risk_multipliers.default / TRADFI / TOKENIZED`,`1.5 / 1.6 / 1.4`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),"Stress increases operational risk in both routes, but tokenized rails retain some automation benefit."
Queue assumptions,`config/queues.yaml`,`kyc_queue.servers.baseline / stress`,`6 / 3`,`Scenario assumption`,Financial Action Task Force (2021),Reviewer-safe framing: operational capacity assumption for stress testing.
Queue assumptions,`config/queues.yaml`,`kyc_queue.service_time`,"`(2, 8, 24) h`",`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Supports off-chain compliance review with some digital efficiency in tokenized onboarding.
Queue assumptions,`config/queues.yaml`,`kyc_queue.service_time_multipliers.TRADFI / TOKENIZED`,`1 / 0.99`,`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Tiny tokenized advantage added only to make stress mechanics route-aware without shifting results.
Queue assumptions,`config/queues.yaml`,`redemption_queue.servers.baseline / stress`,`5 / 2`,`Scenario assumption`,Franklin Templeton Trust (2025); Ondo Finance (n.d.-d),Conservative capacity compression under stress.
Queue assumptions,`config/queues.yaml`,`redemption_queue.service_time`,"`(4, 16, 48) h`",`Directionally supported calibration`,Franklin Templeton Trust (2025); Ondo Finance (n.d.-d); International Organization of Securities Commissions (2025); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Reflects issuer/admin processing for both routes.
Queue assumptions,`config/queues.yaml`,`redemption_queue.service_time_multipliers.TRADFI / TOKENIZED`,`1 / 0.985`,`Directionally supported calibration`,Franklin Templeton Trust (2025); Ondo Finance (n.d.-d); International Organization of Securities Commissions (2025); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Very small tokenized service edge retained to avoid materially changing outputs.
Queue assumptions,`config/queues.yaml`,`queue_simulation_horizon_days.baseline / stress`,`5 / 10`,`Structural model choice`,None for exact days,"Chosen to estimate queue waiting-time distributions, not to simulate full market history."
