Risk event,Label,Stage(s),Route scope,Base probability,Delay impact (hours),Cost impact,Outcome flags
KYC_MANUAL_REVIEW,KYC escalates to manual review,KYC_REVIEW,"TradFi, Tokenized",0.08,"(6, 24, 120)",explicit +1; implicit +0.5,none
KYC_FAILURE,KYC failure (cannot proceed),KYC_REVIEW,"TradFi, Tokenized",0.01,0,explicit +0; implicit +0,blocks_progress
REDEMPTION_HOLD,Redemption placed on hold (extra checks),REDEMPTION_PROCESSING,"TradFi, Tokenized",0.06,"(12, 72, 240)",explicit +0.5; implicit +1,none
REDEMPTION_REJECTED,Redemption rejected (cannot exit via redemption),REDEMPTION_PROCESSING,"TradFi, Tokenized",0.01,0,explicit +0; implicit +0,freezes_exit
SETTLEMENT_FAIL,Settlement failure / fail-to-deliver,CLEARING_SETTLEMENT,TradFi,0.03,"(24, 48, 72)",explicit +0.3; implicit +0.5,none
ACATS_COMPLICATION,ACATS transfer delayed by data discrepancy or asset incompatibility,TRANSFERABILITY,TradFi,0.05,"(24, 72, 168)",explicit +0.2; implicit +0.3,none
CUSTODY_RECONCILIATION_ERROR,Custodian reconciliation error (position mismatch),CUSTODY_RECORDING,TradFi,0.02,"(4, 24, 72)",explicit +0.3; implicit +0.2,none
ATTESTATION_DELAY,Reporting/attestation delay (oracle or on-chain attestation),SERVICING_REPORTING,Tokenized,0.05,"(2, 12, 72)",explicit +0.2; implicit +0.2,none
TRANSFER_BLOCKED,Secondary transfer blocked by compliance-gated smart contract,TRANSFERABILITY,Tokenized,0.03,"(0.5, 6, 48)",explicit +0.2; implicit +0,transfer_success=false
GOVERNANCE_PAUSE,Platform/governance intervention pauses transfers temporarily,"TRANSFERABILITY, EXIT_INITIATION, REDEMPTION_PROCESSING",Tokenized,0.01,"(6, 48, 240)",explicit +0.3; implicit +0.5,none
