Config area,Parameter(s),Current value,Status,Source support,Notes
`config/routes_tradfi.yaml`,`CUSTODY_RECORDING.time`,"`(1, 4, 12) h`",`Directionally supported calibration`,Depository Trust & Clearing Corporation (2024); Committee on Payment and Settlement Systems & Technical Committee of the International Organization of Securities Commissions (2012); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),"Legacy post-trade reconciliation is slower than tokenized recording, but this stage intentionally excludes the settlement cycle already modeled elsewhere."
`config/routes_tradfi.yaml`,`SERVICING_REPORTING.time`,"`(0.2, 1, 4) h`",`Directionally supported calibration`,Agur et al. (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Models setup/reconciliation burden rather than a full periodic reporting cycle.
`config/routes_tradfi.yaml`,`PRIVATE_CREDIT asset_time_adders` on custody / servicing / transfer,`2 / 4 / 6 h`,`Directionally supported calibration`,Agur et al. (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Small overlays added to create route x asset interaction while preserving the main private-credit delay story in `assets.yaml`.
`config/routes_tokenized.yaml`,`ELIGIBILITY_GATE.time`,"`(0.5, 4, 24) h`",`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),"Whitelist/allowlist review is mostly automated, with a tail for manual compliance review."
`config/routes_tokenized.yaml`,`ELIGIBILITY_GATE.gating.allowlist_pass_probability`,`0.97`,`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),"Sources support compliance-gated access, but not an exact pass rate."
`config/routes_tokenized.yaml`,`EXECUTION.costs.explicit_fixed / implicit_fixed`,`0.5 / 1`,`Structural model choice`,Ondo Finance (n.d.-a); Baird et al. (2020),"Keep framed as relative cost proxies, not market fee quotes."
`config/routes_tokenized.yaml`,`CUSTODY_RECORDING.time`,"`(0.5, 2, 8) h`",`Directionally supported calibration`,UK Jurisdiction Taskforce (2019); International Organization of Securities Commissions (2025); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),"Faster than TradFi due to tokenized ownership records, but not zero because admin/legal setup still exists."
`config/routes_tokenized.yaml`,`SERVICING_REPORTING.time`,"`(0.1, 0.5, 4) h`",`Directionally supported calibration`,UK Jurisdiction Taskforce (2019); International Organization of Securities Commissions (2025); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),"Real-time on-chain visibility helps, but attestation/oracle dependencies remain."
`config/routes_tokenized.yaml`,`TRANSFERABILITY.time`,"`(0.1, 1, 12) h`",`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Near-instant if both wallets are already approved; longer if secondary allowlisting is needed.
`config/routes_tokenized.yaml`,`TRANSFERABILITY.restrictions.transfer_pass_probability`,`0.95`,`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),"Literature supports whitelist restrictions, but not an exact success rate."
`config/routes_tokenized.yaml`,`PRIVATE_CREDIT asset_time_adders` on custody / servicing / transfer,`1 / 3 / 4 h`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Agur et al. (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Keeps tokenized private credit slower than liquid tokenized products without undoing the tokenized route advantage.
`config/routes_tokenized.yaml`,`REDEMPTION_PROCESSING.redemption_hold_probability / redemption_reject_probability / hold_delay_hours / hold_delay_hours_stress`,`0.03 / 0.01 / 24 / 72`,`Directionally supported calibration`,Franklin Templeton Trust (2025); Ondo Finance (n.d.-d); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),"Sources support redemption controls and compliance checks, but not these exact exception rates."
